country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Benin,1300000,2170000,2730000,2960000,3800000,3990000,3720000,3910000,4290000,4020000,4100000,4290000,4900000,6700000,6450000,7860000,7160000,10100000,8550000,17600000,23600000,17200000,16600000,17800000,21200000,19800000,26300000,35600000,36900000,28500000,32800000,,,,,,,,,17800000,14500000,13100000,26000000,34500000,41800000,44700000,46800000,,64700000,,,,78200000,86000000,93000000,90900000,79600000,116000000,90200000
Bolivia,,4940000,5200000,6400000,,,,,11600000,12300000,16800000,15900000,20700000,21100000,39800000,58300000,66800000,73300000,97700000,120000000,159000000,239000000,124000000,90000000,145000000,131000000,92900000,103000000,92900000,102000000,137000000,144000000,141000000,110000000,135000000,141000000,147000000,180000000,229000000,177000000,173000000,184000000,160000000,173000000,169000000,169000000,180000000,221000000,327000000,346000000,327000000,404000000,500000000,564000000,626000000,576000000,552000000,574000000,619000000
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241000000,202000000,200000000,173000000,178000000,195000000,233000000,242000000,220000000,212000000,197000000,198000000,190000000,162000000,158000000,165000000,221000000
Botswana,,,,,,,,,,,,,,,,,,5650000,14300000,24400000,31800000,31200000,23600000,24500000,26100000,21000000,34300000,73800000,93700000,103000000,156000000,172000000,178000000,186000000,170000000,166000000,141000000,161000000,181000000,170000000,185000000,210000000,224000000,301000000,314000000,284000000,273000000,306000000,332000000,330000000,349000000,363000000,327000000,306000000,346000000,384000000,514000000,522000000,529000000
Brazil,383000000,342000000,387000000,442000000,354000000,633000000,718000000,746000000,755000000,817000000,1030000000,1080000000,1200000000,1510000000,1790000000,2140000000,2580000000,2500000000,2690000000,2830000000,2260000000,2520000000,3030000000,2080000000,2010000000,2690000000,2760000000,4320000000,5870000000,8760000000,9240000000,6690000000,4990000000,7100000000,10600000000,14300000000,14100000000,13900000000,14400000000,9870000000,11300000000,10900000000,9660000000,8390000000,9780000000,13600000000,16400000000,20500000000,24500000000,25600000000,34000000000,36900000000,34000000000,32900000000,32700000000,24600000000,24200000000,29300000000,27800000000
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,97400000,102000000,110000000,104000000,178000000,186000000,231000000,245000000,252000000,234000000,262000000,286000000,328000000,369000000,294000000,258000000,244000000,218000000,226000000,243000000,199000000,249000000,293000000,323000000,362000000,350000000,391000000,415000000,411000000,412000000,528000000,424000000,403000000,347000000,347000000
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2070000000,795000000,232000000,256000000,283000000,242000000,311000000,214000000,244000000,320000000,357000000,351000000,406000000,456000000,569000000,651000000,699000000,751000000,1030000000,1040000000,963000000,893000000,829000000,808000000,900000000,836000000,661000000,755000000,824000000,1100000000
Burkina Faso,1270000,1640000,4900000,5280000,5360000,3510000,3910000,3700000,3760000,4020000,4190000,4340000,4950000,6080000,6270000,18100000,19500000,22900000,32400000,32000000,35400000,33900000,32900000,29300000,27000000,27100000,51200000,50700000,57200000,66800000,84500000,69500000,71100000,60500000,30300000,36900000,37100000,38500000,39500000,41700000,36700000,36800000,42500000,50800000,65700000,73800000,72600000,108000000,117000000,127000000,124000000,139000000,148000000,166000000,177000000,148000000,149000000,191000000,312000000
Burundi,,,8420000,1010000,1160000,2150000,2290000,2380000,2590000,3340000,,2630000,3600000,5920000,7680000,8530000,9970000,14000000,17000000,20000000,27800000,30000000,36700000,34400000,29900000,32200000,34600000,30800000,34300000,37900000,39600000,42800000,39000000,36300000,41900000,42100000,50900000,61900000,58700000,50600000,42300000,53200000,44900000,43400000,44900000,49600000,44700000,46300000,43900000,,,,59000000,60900000,62200000,66200000,66500000,63900000,65400000
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29100000,43300000,62300000,44600000,107000000,123000000,114000000,103000000,83300000,88200000,81000000,70800000,65200000,67500000,69200000,71000000,75900000,79000000,82600000,137000000,168000000,192000000,217000000,243000000,278000000,325000000,382000000,464000000,543000000
